Matemática - Polo Santana do Livramento,93861
Matemática - Polo Sapucaia do Sul,93857
Matemática - Polo Serafina Corrêa,93858
Matemática - Polo São Francisco de Paula,93835
Matemática - Polo São Lourenço do Sul,93854
Medicina,600
Medicina Veterinária,510
Medicina Veterinária,500
Meteorologia,1800
Museologia,5400
Música,2300
Música - Canto,3710
Música - Ciências Musicais,3770
Música - Composição,3760
Música - Flauta Transversal,3720
Música - Música Popular,3790
Música - Piano,3740
Música - Violino,3730
Música - Violão,3750
Nutrição,1100
Odontologia,400
Pedagogia,1920
Pedagogia,1900
Processos Gerenciais,7300
Psicologia,6600
Química,4410
Química,4420
Química de Alimentos,4300
Química Forense,7800
Química Industrial,4440
Relações Internacionais,6800
Teatro,8000
Terapia Ocupacional,7200
Transporte Terrestre,7500
Turismo,4700
Zootecnia,5800
