93861,Matemática - Polo Santana do Livramento
93857,Matemática - Polo Sapucaia do Sul
93858,Matemática - Polo Serafina Corrêa
93835,Matemática - Polo São Francisco de Paula
93854,Matemática - Polo São Lourenço do Sul
600,Medicina
510,Medicina Veterinária
500,Medicina Veterinária
1800,Meteorologia
5400,Museologia
2300,Música
3710,Música - Canto
3770,Música - Ciências Musicais
3760,Música - Composição
3720,Música - Flauta Transversal
3790,Música - Música Popular
3740,Música - Piano
3730,Música - Violino
3750,Música - Violão
1100,Nutrição
400,Odontologia
1920,Pedagogia
1900,Pedagogia
7300,Processos Gerenciais
6600,Psicologia
4410,Química
4420,Química
4300,Química de Alimentos
7800,Química Forense
4440,Química Industrial
6800,Relações Internacionais
8000,Teatro
7200,Terapia Ocupacional
7500,Transporte Terrestre
4700,Turismo
5800,Zootecnia
